user_id,chat_id,language,number_messages,handling_time,start_time,website,website_summary
User 1497,14341,English,11,644.0,2018-06-21 12:21:22.343299,Website C,Website C
User 1478,14342,Italian,28,1062.0,2018-06-21 11:45:07.326396,Website D,Website D
User 1291,14343,Spanish,22,1379.0,2018-06-21 12:08:05.692104,Website A,Website A
User 1435,14345,French,8,453.0,2018-06-21 11:56:52.724035,Website A,Website A
User 1478,14346,Italian,72,2492.0,2018-06-21 12:18:41.371538,Website A,Website A
User 1291,14347,English,18,1298.0,2018-06-21 12:13:13.416028,Website A,Website A
User 1497,14348,English,10,496.0,2018-06-21 11:30:10.583459,Website D,Website D
User 1395,14349,English,32,1243.0,2018-06-21 11:20:10.254357,Website A,Website A
User 1435,14350,French,13,764.0,2018-06-21 11:18:23.754517,Website A,Website A
User 1395,14351,English,10,573.0,2018-06-21 12:29:13.958747,Website C,Website C
User 1313,14352,German,19,854.0,2018-06-21 13:07:25.613495,Website A,Website A
User 1497,14353,English,29,1407.0,2018-06-21 11:58:13.059864,Website A,Website A
User 1385,14354,English,8,394.0,2018-06-21 12:18:59.317737,Website A,Website A
User 1478,14355,Italian,82,1399.0,2018-06-21 12:22:20.137295,Website A,Website A
User 1291,14356,Spanish,10,704.0,2018-06-21 13:00:44.827750,Website D,Website D
User 1269,14357,English,15,1278.0,2018-06-21 11:44:39.162244,Website C,Website C
User 1269,14359,English,9,594.0,2018-06-21 12:02:15.341868,Website A,Website A
User 1385,14360,English,11,962.0,2018-06-21 12:07:46.830871,Website A,Website A
